61cc3858.0	61cc3858.0	NSFTV71	IR 36	RDP1	indica	1	O. sativa	2.3	2.3
12d82364.0	12d82364.0	NSFTV72	IR 8	RDP1	indica	1	O. sativa	2.4	2.3
55d3afae.0	55d3afae.0	NSFTV74	IRGA 409	RDP1	indica	1	O. sativa	2.4	2.6
cb5e38e6.0	cb5e38e6.0	NSFTV76	Jaya	RDP1	indica	1	O. sativa	3.1	3
45ec7861.0	45ec7861.0	NSFTV77	JC149	RDP1	indica	0.983	O. sativa	3.2	3.5
743f41c1.0	743f41c1.0	NSFTV90	Kiang-Chou-Chiu	RDP1	indica	1	O. sativa	0.6	0.5
86f75d2b.0	86f75d2b.0	NSFTV1	Agostano	RDP1	temperate-japonica	1	O. sativa	0.5	0.2
2e1c9c87.0	2e1c9c87.0	NSFTV10	Baghlani Nangarhar	RDP1	temperate-japonica	1	O. sativa	1.1	0.7
8c76404c.0	8c76404c.0	NSFTV103	Luk Takhar	RDP1	temperate-japonica	0.963	O. sativa	0.7	0.3
8629f76c.0	8629f76c.0	NSFTV104	Mansaku	RDP1	temperate-japonica	1	O. sativa	1.2	0.9
7a723d9e.0	7a723d9e.0	NSFTV113	Norin 20	RDP1	temperate-japonica	1	O. sativa	2.3	2.6
0bca95e0.0	0bca95e0.0	NSFTV115	NPE 835	RDP1	temperate-japonica	0.812	O. sativa	0.8	0.7
71bd9426.0	71bd9426.0	NSFTV118	Oro	RDP1	temperate-japonica	1	O. sativa	0.7	0.5
1a95985b.0	1a95985b.0	NSFTV133	Rikuto Kemochi	RDP1	temperate-japonica	0.751	O. sativa	3.8	3
4ab486ec.0	4ab486ec.0	NSFTV134	Romeo	RDP1	temperate-japonica	0.747	O. sativa	0.7	0.4
3ea144c5.0	3ea144c5.0	NSFTV143	Shinriki	RDP1	temperate-japonica	1	O. sativa	0.5	0.2
3269952e.0	3269952e.0	NSFTV144	Shoemed	RDP1	temperate-japonica	1	O. sativa	1.8	1.2
e13b4d7a.0	e13b4d7a.0	NSFTV15	Beonjo	RDP1	temperate-japonica	1	O. sativa	0.8	0.3
dee26171.0	dee26171.0	NSFTV151	Suweon	RDP1	temperate-japonica	0.979	O. sativa	0.8	0.5
dfdfb828.0	dfdfb828.0	NSFTV154	Ta Hung Ku	RDP1	temperate-japonica	0.913	O. sativa	0.7	0.4
9127f236.0	9127f236.0	NSFTV155	Ta Mao Tsao	RDP1	temperate-japonica	0.952	O. sativa	0.8	0.5
2db62b89.0	2db62b89.0	NSFTV157	Tainan Iku 487	RDP1	temperate-japonica	0.957	O. sativa	0.9	0.5
6516a500.0	6516a500.0	NSFTV158	Taipei 309	RDP1	temperate-japonica	1	O. sativa	1.2	0.9
ba028784.0	ba028784.0	NSFTV169	WC 6	RDP1	temperate-japonica	0.74	O. sativa	1.4	0.9
0f847952.0	0f847952.0	NSFTV173	Nipponbare	RDP1	temperate-japonica	1	O. sativa	1	0.6
15e6c437.0	15e6c437.0	NSFTV177	68-2	RDP1	temperate-japonica	0.938	O. sativa	1.4	0.8
5505a767.0	5505a767.0	NSFTV179	Bellardone	RDP1	temperate-japonica	1	O. sativa	0.6	0.3
f948d7b5.0	f948d7b5.0	NSFTV180	Benllok	RDP1	temperate-japonica	1	O. sativa	1.1	0.8
8cd35626.0	8cd35626.0	NSFTV181	Bergreis	RDP1	temperate-japonica	1	O. sativa	0.7	0.3
7119ebee.0	7119ebee.0	NSFTV184	Bombon	RDP1	temperate-japonica	0.739	O. sativa	1.2	0.8
4559ff3f.0	4559ff3f.0	NSFTV186	Bul Zo	RDP1	temperate-japonica	1	O. sativa	0.9	0.4
fdd98970.0	fdd98970.0	NSFTV192	Erythroceros Hokkaido	RDP1	temperate-japonica	1	O. sativa	0.7	0.3
cd22c3de.0	cd22c3de.0	NSFTV2	Aichi Asahi	RDP1	temperate-japonica	1	O. sativa	3.8	2.6
778cea6e.0	778cea6e.0	NSFTV204	Razza 77	RDP1	temperate-japonica	0.747	O. sativa	6	6
348853a5.0	348853a5.0	NSFTV205	Rinaldo Bersani	RDP1	temperate-japonica	0.721	O. sativa	0.6	0.4
149fb038.0	149fb038.0	NSFTV216	Yabani Montakhab 7	RDP1	temperate-japonica	1	O. sativa	0.8	0.4
199f4455.0	199f4455.0	NSFTV219	Nucleoryza	RDP1	temperate-japonica	0.903	O. sativa	0.9	0.6
c5bf98cc.0	c5bf98cc.0	NSFTV220	Azerbaidjanica	RDP1	temperate-japonica	0.898	O. sativa	6.6	6.5
f2e9bed5.0	f2e9bed5.0	NSFTV224	Karabaschak	RDP1	temperate-japonica	1	O. sativa	0.7	0.3
a31b4a06.0	a31b4a06.0	NSFTV225	Biser 1	RDP1	temperate-japonica	0.916	O. sativa	0.7	0.3
0ede42bd.0	0ede42bd.0	NSFTV230	NSFTV230	RDP1	temperate-japonica	1	O. sativa	2.6	2.4
c528bce0.0	c528bce0.0	NSFTV232	Shangyu 394	RDP1	temperate-japonica	1	O. sativa	0.4	0.1
ca615802.0	ca615802.0	NSFTV233	Sung Liao 2	RDP1	temperate-japonica	1	O. sativa	0.7	0.5
44aeff79.0	44aeff79.0	NSFTV243	Tropical Rice	RDP1	temperate-japonica	0.942	O. sativa	1.7	1.2
8a41a10a.0	8a41a10a.0	NSFTV245	Sab Ini	RDP1	temperate-japonica	0.974	O. sativa	2.3	1.6
de7ac7bf.0	de7ac7bf.0	NSFTV247	Desvauxii	RDP1	temperate-japonica	0.992	O. sativa	3.5	2.8
9b37187d.0	9b37187d.0	NSFTV248	Caucasica	RDP1	temperate-japonica	0.952	O. sativa	0.6	0.3
87621330.0	87621330.0	NSFTV249	Pirinae 69	RDP1	temperate-japonica	0.784	O. sativa	2.3	7.5
88e1f162.0	88e1f162.0	NSFTV250	Bulgare	RDP1	temperate-japonica	1	O. sativa	0.6	0.3
